"statistics_name","column_names","created","row_count","distinct_count","null_count","avg_size","partial_predicate","histogram_id","full_histogram_id"
__auto__,{id},2026-07-14 16:57:42.191 +0200,5000000,5000000,0,9,,1192659065955811329,0
__auto__,{customer_id},2026-07-14 16:57:42.191 +0200,5000000,498057,0,10,,1192659066161561601,0
__auto__,{order_date},2026-07-14 16:57:42.191 +0200,5000000,5494,0,11,,1192659066366427137,0
__auto__,{ship_date},2026-07-14 16:57:42.191 +0200,5000000,5429,1002056,9,,1192659066508443649,0
__auto__,{status},2026-07-14 16:57:42.191 +0200,5000000,4,0,11,,1192659066077478913,0
__auto__,{priority},2026-07-14 16:57:42.191 +0200,5000000,4,0,8,,1192659066606452737,0
__auto__,{total},2026-07-14 16:57:42.191 +0200,5000000,198157,0,7,,1192659066850017281,0
__auto__,{discount},2026-07-14 16:57:42.191 +0200,5000000,3001,0,6,,1192659066998358017,0
__auto__,{region},2026-07-14 16:57:42.191 +0200,5000000,4,0,7,,1192659067108753409,0
__auto__,{id},2026-07-14 20:41:53.704 +0200,5000000,5000000,0,9,,1192703143906246657,0
__auto__,{customer_id},2026-07-14 20:41:53.704 +0200,5000000,498057,0,10,,1192703144009007105,0
__auto__,{order_date},2026-07-14 20:41:53.704 +0200,5000000,5494,0,11,,1192703144176812033,0
__auto__,{ship_date},2026-07-14 20:41:53.704 +0200,5000000,5429,1002056,9,,1192703144303493121,0
__auto__,{status},2026-07-14 20:41:53.704 +0200,5000000,4,0,11,,1192703144398389249,0
__auto__,{priority},2026-07-14 20:41:53.704 +0200,5000000,4,0,8,,1192703144493875201,0
__auto__,{total},2026-07-14 20:41:53.704 +0200,5000000,198157,0,7,,1192703144650440705,0
__auto__,{discount},2026-07-14 20:41:53.704 +0200,5000000,3001,0,6,,1192703144802254849,0
__auto__,{region},2026-07-14 20:41:53.704 +0200,5000000,4,0,7,,1192703144888762369,0
__auto__,{id},2026-07-14 20:43:09.536 +0200,5000000,5000000,0,9,,1192703392372523009,0
__auto__,{customer_id},2026-07-14 20:43:09.536 +0200,5000000,498057,0,10,,1192703392480264193,0
__auto__,{order_date},2026-07-14 20:43:09.536 +0200,5000000,5494,0,11,,1192703392753680385,0
__auto__,{ship_date},2026-07-14 20:43:09.536 +0200,5000000,5429,1002056,9,,1192703392911949825,0
__auto__,{status},2026-07-14 20:43:09.536 +0200,5000000,4,0,11,,1192703392573620225,0
__auto__,{priority},2026-07-14 20:43:09.536 +0200,5000000,4,0,8,,1192703393004716033,0
__auto__,{total},2026-07-14 20:43:09.536 +0200,5000000,198157,0,7,,1192703393159610369,0
__auto__,{discount},2026-07-14 20:43:09.536 +0200,5000000,3001,0,6,,1192703393305427969,0
__auto__,{region},2026-07-14 20:43:09.536 +0200,5000000,4,0,7,,1192703393413758977,0
__auto__,{id},2026-07-14 20:44:26.478 +0200,5000000,5000000,0,9,,1192703644508160001,0
__auto__,{customer_id},2026-07-14 20:44:26.478 +0200,5000000,498057,0,10,,1192703644638707713,0
__auto__,"{customer_id,status}",2026-07-14 20:44:26.478 +0200,5000000,1702848,0,21,,,0
__auto__,{order_date},2026-07-14 20:44:26.478 +0200,5000000,5494,0,11,,1192703644972777473,0
__auto__,{ship_date},2026-07-14 20:44:26.478 +0200,5000000,5429,1002056,9,,1192703645117087745,0
__auto__,{status},2026-07-14 20:44:26.478 +0200,5000000,4,0,11,,1192703644775940097,0
__auto__,{priority},2026-07-14 20:44:26.478 +0200,5000000,4,0,8,,1192703645216702465,0
__auto__,{total},2026-07-14 20:44:26.478 +0200,5000000,198157,0,7,,1192703645400662017,0
__auto__,{discount},2026-07-14 20:44:26.478 +0200,5000000,3001,0,6,,1192703645522427905,0
__auto__,{region},2026-07-14 20:44:26.478 +0200,5000000,4,0,7,,1192703645634363393,0
__auto__,{id},2026-07-14 23:02:13.373 +0200,5000000,5000000,0,9,,1192730733436534785,0
__auto__,{customer_id},2026-07-14 23:02:13.373 +0200,5000000,498057,0,10,,1192730733537951745,0
__auto__,"{customer_id,status}",2026-07-14 23:02:13.373 +0200,5000000,1702848,0,21,,,0
__auto__,{order_date},2026-07-14 23:02:13.373 +0200,5000000,5494,0,11,,1192730733851312129,0
__auto__,{ship_date},2026-07-14 23:02:13.373 +0200,5000000,5429,1002056,9,,1192730733994934273,0
__auto__,{status},2026-07-14 23:02:13.373 +0200,5000000,4,0,11,,1192730733638844417,0
__auto__,{priority},2026-07-14 23:02:13.373 +0200,5000000,4,0,8,,1192730734089306113,0
__auto__,{total},2026-07-14 23:02:13.373 +0200,5000000,198157,0,7,,1192730734270644225,0
__auto__,{discount},2026-07-14 23:02:13.373 +0200,5000000,3001,0,6,,1192730734416035841,0
__auto__,{region},2026-07-14 23:02:13.373 +0200,5000000,4,0,7,,1192730734527905793,0
