"statistics_name","column_names","created","row_count","distinct_count","null_count","avg_size","partial_predicate","histogram_id","full_histogram_id"
__auto__,{id},2026-07-14 20:41:53.704 +0200,5000000,5000000,0,9,,1192703143906246657,0
__auto__,{customer_id},2026-07-14 20:41:53.704 +0200,5000000,498057,0,10,,1192703144009007105,0
__auto__,{order_date},2026-07-14 20:41:53.704 +0200,5000000,5494,0,11,,1192703144176812033,0
__auto__,{ship_date},2026-07-14 20:41:53.704 +0200,5000000,5429,1002056,9,,1192703144303493121,0
__auto__,{status},2026-07-14 20:41:53.704 +0200,5000000,4,0,11,,1192703144398389249,0
__auto__,{priority},2026-07-14 20:41:53.704 +0200,5000000,4,0,8,,1192703144493875201,0
__auto__,{total},2026-07-14 20:41:53.704 +0200,5000000,198157,0,7,,1192703144650440705,0
__auto__,{discount},2026-07-14 20:41:53.704 +0200,5000000,3001,0,6,,1192703144802254849,0
__auto__,{region},2026-07-14 20:41:53.704 +0200,5000000,4,0,7,,1192703144888762369,0
__auto__,{id},2026-07-14 20:43:09.536 +0200,5000000,5000000,0,9,,1192703392372523009,0
__auto__,{customer_id},2026-07-14 20:43:09.536 +0200,5000000,498057,0,10,,1192703392480264193,0
__auto__,{order_date},2026-07-14 20:43:09.536 +0200,5000000,5494,0,11,,1192703392753680385,0
__auto__,{ship_date},2026-07-14 20:43:09.536 +0200,5000000,5429,1002056,9,,1192703392911949825,0
__auto__,{status},2026-07-14 20:43:09.536 +0200,5000000,4,0,11,,1192703392573620225,0
__auto__,{priority},2026-07-14 20:43:09.536 +0200,5000000,4,0,8,,1192703393004716033,0
__auto__,{total},2026-07-14 20:43:09.536 +0200,5000000,198157,0,7,,1192703393159610369,0
__auto__,{discount},2026-07-14 20:43:09.536 +0200,5000000,3001,0,6,,1192703393305427969,0
__auto__,{region},2026-07-14 20:43:09.536 +0200,5000000,4,0,7,,1192703393413758977,0
__auto__,{id},2026-07-14 20:44:26.478 +0200,5000000,5000000,0,9,,1192703644508160001,0
__auto__,{customer_id},2026-07-14 20:44:26.478 +0200,5000000,498057,0,10,,1192703644638707713,0
__auto__,"{customer_id,status}",2026-07-14 20:44:26.478 +0200,5000000,1702848,0,21,,,0
__auto__,{order_date},2026-07-14 20:44:26.478 +0200,5000000,5494,0,11,,1192703644972777473,0
__auto__,{ship_date},2026-07-14 20:44:26.478 +0200,5000000,5429,1002056,9,,1192703645117087745,0
__auto__,{status},2026-07-14 20:44:26.478 +0200,5000000,4,0,11,,1192703644775940097,0
__auto__,{priority},2026-07-14 20:44:26.478 +0200,5000000,4,0,8,,1192703645216702465,0
__auto__,{total},2026-07-14 20:44:26.478 +0200,5000000,198157,0,7,,1192703645400662017,0
__auto__,{discount},2026-07-14 20:44:26.478 +0200,5000000,3001,0,6,,1192703645522427905,0
__auto__,{region},2026-07-14 20:44:26.478 +0200,5000000,4,0,7,,1192703645634363393,0
__auto__,{id},2026-07-14 23:02:13.373 +0200,5000000,5000000,0,9,,1192730733436534785,0
__auto__,{customer_id},2026-07-14 23:02:13.373 +0200,5000000,498057,0,10,,1192730733537951745,0
__auto__,"{customer_id,status}",2026-07-14 23:02:13.373 +0200,5000000,1702848,0,21,,,0
__auto__,{order_date},2026-07-14 23:02:13.373 +0200,5000000,5494,0,11,,1192730733851312129,0
__auto__,{ship_date},2026-07-14 23:02:13.373 +0200,5000000,5429,1002056,9,,1192730733994934273,0
__auto__,{status},2026-07-14 23:02:13.373 +0200,5000000,4,0,11,,1192730733638844417,0
__auto__,{priority},2026-07-14 23:02:13.373 +0200,5000000,4,0,8,,1192730734089306113,0
__auto__,{total},2026-07-14 23:02:13.373 +0200,5000000,198157,0,7,,1192730734270644225,0
__auto__,{discount},2026-07-14 23:02:13.373 +0200,5000000,3001,0,6,,1192730734416035841,0
__auto__,{region},2026-07-14 23:02:13.373 +0200,5000000,4,0,7,,1192730734527905793,0
__auto__,{id},2026-07-15 00:10:33.750 +0200,5500000,5500000,0,9,,1192744169758687233,0
__auto__,{customer_id},2026-07-15 00:10:33.750 +0200,5500000,498057,0,10,,1192744169939861505,0
__auto__,{order_date},2026-07-15 00:10:33.750 +0200,5500000,5869,0,11,,1192744170277732353,0
__auto__,{ship_date},2026-07-15 00:10:33.750 +0200,5500000,5429,1502056,8,,1192744170561044481,0
__auto__,{status},2026-07-15 00:10:33.750 +0200,5500000,4,0,11,,1192744170808049665,0
__auto__,{priority},2026-07-15 00:10:33.750 +0200,5500000,4,0,7,,1192744171038277633,0
__auto__,{total},2026-07-15 00:10:33.750 +0200,5500000,198937,0,7,,1192744171343609857,0
__auto__,{discount},2026-07-15 00:10:33.750 +0200,5500000,3001,0,6,,1192744171582717953,0
__auto__,{region},2026-07-15 00:10:33.750 +0200,5500000,4,0,7,,1192744171748360193,0
orders_status_total,"{status,total}",2026-07-15 00:10:36.815 +0200,5500000,783804,0,17,,,0
